ID,dni,nombre,apellido,email
4850f2dc-c8de-45f3-97e3-6616b2a25148,40949970,Lucia,Martinez,lucia.martinez@alumnos.edu
c76d6a2c-4a19-4683-aa3e-b1aa9c7cc3d1,40282401,Diego,Suarez,diego.suarez@alumnos.edu
5764b041-94da-404c-b908-8cb45f3f099f,40441346,Sofia,Gomez,sofia.gomez@alumnos.edu
d1665d7d-19e7-40ba-b78f-93367a2a053a,40600291,Mateo,Fernandez,mateo.fernandez@alumnos.edu
1dc99454-d27b-47c8-b9b9-d125b2ea6f34,40918181,Valentina,Lopez,valentina.lopez@alumnos.edu
14c32a51-b4a5-4046-aa95-abdbdede8d5f,40473135,Santiago,Perez,santiago.perez@alumnos.edu
9cd07f66-cb77-43dc-abf8-dc6fa39c5f5a,40822814,Camila,Rodriguez,camila.rodriguez@alumnos.edu
805c9781-483c-4be5-ac98-227c036c664e,40314190,Thiago,Gonzalez,thiago.gonzalez@alumnos.edu
7c914b69-1789-4ad2-9ada-016b1b63a617,40727447,Martina,Torres,martina.torres@alumnos.edu
528937f1-bcb7-4112-afc3-efc8afcb58cd,40504924,Benjamin,Ramirez,benjamin.ramirez@alumnos.edu
7cd74e20-bfc2-400d-bffc-34a1fe351f42,40632080,Emma,Sanchez,emma.sanchez@alumnos.edu
19007b6f-2c97-4e1d-9170-d15d32e92d80,40409557,Joaquin,Romero,joaquin.romero@alumnos.edu
3e52f146-ede8-4729-b930-4240835ce6d1,41013548,Mia,Alvarez,mia.alvarez@alumnos.edu
10f03da7-10dc-438b-a4ee-4e51d23caca1,40568502,Lautaro,Ruiz,lautaro.ruiz@alumnos.edu
9ab2d6ed-e4fa-4e92-87fe-1c9ffecdb23b,40886392,Catalina,Silva,catalina.silva@alumnos.edu
0857fb99-d039-441a-970c-aee57d83cecb,40759236,Juan,Acosta,juan.acosta@alumnos.edu
70306bcf-c969-41b3-8d51-e6b576d82b8e,41077126,Antonella,Molina,antonella.molina@alumnos.edu
1c79489e-760d-401e-8ae8-53b12120b65c,40155245,Tomas,Castro,tomas.castro@alumnos.edu
ef960aad-f24b-4a07-afe7-99b21b1e7756,40536713,Abril,Ortega,abril.ortega@alumnos.edu
de27db69-589b-45ce-8238-d45eae34ea44,40695658,Franco,Vega,franco.vega@alumnos.edu
a65f8f44-1ce6-4d01-b499-4b930f63f300,40187034,Olivia,Herrera,olivia.herrera@alumnos.edu
d64085d3-8a6c-4def-91d1-75487a0c7022,40663869,Nicolas,Navarro,nicolas.navarro@alumnos.edu
ac5c7e82-43a3-4258-bd2f-6e7b04348178,40791025,Jazmin,Ibarra,jazmin.ibarra@alumnos.edu
2b40e0a0-d1ba-4d2a-a38f-646ad8dac44d,40218823,Agustin,Morales,agustin.morales@alumnos.edu
4659d277-ad41-4f7e-b43e-48d195c7c842,41045337,Carolina,Medina,carolina.medina@alumnos.edu
8ebd33e7-3131-464e-9625-d75995dfb972,40250612,Felipe,Farias,felipe.farias@alumnos.edu
312b556d-1e0c-4576-b8b5-0f042cd33c2f,40981759,Paula,Nunez,paula.nunez@alumnos.edu
8dfeb9f1-adce-4019-8f96-d4626f4b437a,41108915,Ramiro,Benitez,ramiro.benitez@alumnos.edu
6624b65e-89f2-4d66-a6ed-c87d173e56e1,40377768,Florencia,Ponce,florencia.ponce@alumnos.edu
4bcdb941-e010-420a-be84-dfc6ba3e239d,40854603,Bruno,Gutierrez,bruno.gutierrez@alumnos.edu
